methode;type;threshold;nom_instance;N;M;F;tps;solv;obj;obj1;obj2;obj22;setup;valide;feas;opt 
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_0.txt;20;3;4;3.828;1;433;429;4;4;2;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_1.txt;20;3;4;2.828;1;337;337;0;0;1;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_2.txt;20;3;4;1.203;1;264;262;5;3;1;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_3.txt;20;3;4;3.5;1;411;410;4;2;4;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_4.txt;20;3;4;3.562;1;480;476;4;4;2;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_5.txt;20;3;4;2.093;1;227;224;7;5;2;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_6.txt;20;3;4;5.907;1;413;413;0;0;4;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_7.txt;20;3;4;4.141;1;427;424;3;3;3;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_8.txt;20;3;4;3.39;1;437;432;6;6;1;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_9.txt;20;3;4;3.579;1;427;425;3;2;3;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_0.txt;20;3;4;0.657;1;141;141;6;0;3;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_1.txt;20;3;4;2.109;1;370;363;7;7;2;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_2.txt;20;3;4;3.719;1;322;317;5;5;3;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_3.txt;20;3;4;0.531;1;148;143;6;5;2;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_4.txt;20;3;4;1.359;1;211;211;2;0;5;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_5.txt;20;3;4;17.828;1;603;598;7;5;1;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_6.txt;20;3;4;3.407;1;319;317;6;3;3;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_7.txt;20;3;4;2.828;1;360;357;3;3;3;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_8.txt;20;3;4;9.968;1;427;424;5;4;3;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_9.txt;20;3;4;3.469;1;336;331;7;5;2;1;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_0.txt;20;3;4;5.859;1;378;373;6;6;3;1;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_1.txt;20;3;4;5.719;1;367;363;5;5;3;0;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_2.txt;20;3;4;3.25;1;274;269;8;8;1;0;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_3.txt;20;3;4;3.609;1;366;363;3;3;5;1;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_4.txt;20;3;4;1.719;1;175;170;5;5;4;1;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_5.txt;20;3;4;2.812;1;307;303;7;5;4;0;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_6.txt;20;3;4;2.094;1;278;273;7;5;2;1;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_7.txt;20;3;4;1.438;1;191;187;5;4;3;1;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_8.txt;20;3;4;5.047;1;409;404;5;5;3;1;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_9.txt;20;3;4;3.719;1;343;338;7;7;3;0;1;1
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_0.txt;20;3;5;2.375;1;292;292;0;0;3;1;1;1
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_1.txt;20;3;5;4.469;1;369;369;3;0;2;1;1;1
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_2.txt;20;3;5;6.594;1;428;422;7;7;2;1;1;1
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_3.txt;20;3;5;2.219;1;267;267;0;0;4;1;1;1
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_4.txt;20;3;5;18.828;1;667;662;7;7;3;1;1;1
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_5.txt;20;3;5;5.047;1;376;375;7;1;3;1;1;1
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_6.txt;20;3;5;3.485;1;355;352;3;3;2;1;1;1
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_7.txt;20;3;5;3.141;1;323;323;6;0;4;1;1;1
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_8.txt;20;3;5;2.703;1;294;294;0;0;3;1;1;1
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_9.txt;20;3;5;1.469;1;251;243;8;8;3;1;1;1
IP3.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_0.txt;20;3;5;2;1;284;277;7;7;4;1;1;1
IP3.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_1.txt;20;3;5;6.796;1;405;399;7;6;2;1;1;1
IP3.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_2.txt;20;3;5;12.219;1;468;465;5;4;4;0;1;1
IP3.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_3.txt;20;3;5;3;1;347;339;8;8;2;1;1;1
IP3.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_4.txt;20;3;5;2.625;1;232;232;0;0;4;1;1;1
IP3.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_5.txt;20;3;5;2.953;1;349;342;8;8;2;1;1;1
IP3.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_6.txt;20;3;5;14.406;1;408;404;9;9;4;0;1;1
IP3.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_7.txt;20;3;5;2.953;1;321;317;6;6;3;0;1;1
IP3.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_8.txt;20;3;5;4.922;1;419;416;7;5;5;0;1;1
IP3.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_9.txt;20;3;5;2.859;1;353;346;8;7;3;1;1;1
IP3.exe;T15_small;small;instance_20_3_5_10_9_Sthr_0.txt;20;3;5;26.125;1;470;466;9;9;7;0;1;1
IP3.exe;T15_small;small;instance_20_3_5_10_9_Sthr_1.txt;20;3;5;6.5;1;342;336;9;8;3;0;1;1
IP3.exe;T15_small;small;instance_20_3_5_10_9_Sthr_2.txt;20;3;5;5.859;1;387;381;8;7;4;0;1;1
IP3.exe;T15_small;small;instance_20_3_5_10_9_Sthr_3.txt;20;3;5;51.75;1;687;681;8;8;3;0;1;1
