methode;type;threshold;nom_instance;N;M;F;tps;solv;obj;obj1;obj2;obj22;setup;valide;feas;opt 
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_0.txt;20;3;4;4.625;1;433;429;4;4;2;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_1.txt;20;3;4;3.031;1;337;337;0;0;1;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_2.txt;20;3;4;1.281;1;264;262;2;2;1;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_3.txt;20;3;4;4.046;1;411;410;1;1;4;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_4.txt;20;3;4;4.156;1;480;476;4;4;2;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_5.txt;20;3;4;3.141;1;227;223;4;4;2;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_6.txt;20;3;4;6.594;1;413;413;0;0;4;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_7.txt;20;3;4;4.422;1;427;424;3;3;3;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_8.txt;20;3;4;3.812;1;437;432;5;5;1;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_9.txt;20;3;4;3.687;1;427;425;2;2;3;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_0.txt;20;3;4;0.719;1;141;141;0;0;3;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_1.txt;20;3;4;2.36;1;370;363;7;7;2;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_2.txt;20;3;4;3.781;1;322;318;4;4;2;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_3.txt;20;3;4;0.594;1;148;143;5;5;2;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_4.txt;20;3;4;2.531;1;211;211;0;0;5;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_5.txt;20;3;4;15.968;1;603;598;5;5;1;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_6.txt;20;3;4;4.14;1;319;317;2;2;3;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_7.txt;20;3;4;3.469;1;360;357;3;3;3;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_8.txt;20;3;4;8.234;1;427;424;3;3;3;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_9.txt;20;3;4;3.672;1;336;331;5;5;2;1;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_0.txt;20;3;4;5.89;1;378;373;5;5;3;1;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_1.txt;20;3;4;7.984;1;367;363;4;4;3;1;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_2.txt;20;3;4;3.25;1;274;269;5;5;1;1;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_3.txt;20;3;4;4.485;1;366;363;3;3;5;1;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_4.txt;20;3;4;2.188;1;175;170;5;5;4;1;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_5.txt;20;3;4;4.703;1;307;303;4;4;4;1;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_6.txt;20;3;4;2.282;1;278;273;5;5;3;1;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_7.txt;20;3;4;1.656;1;191;187;4;4;3;1;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_8.txt;20;3;4;5.89;1;409;404;5;5;3;1;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_9.txt;20;3;4;3.688;1;343;338;5;5;3;1;1;1
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_0.txt;20;3;5;2.469;1;292;292;0;0;3;1;1;1
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_1.txt;20;3;5;5.391;1;369;369;0;0;2;1;1;1
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_2.txt;20;3;5;5.156;1;428;422;6;6;2;1;1;1
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_3.txt;20;3;5;2.5;1;267;267;0;0;4;1;1;1
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_4.txt;20;3;5;22.719;1;667;662;5;5;3;1;1;1
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_5.txt;20;3;5;5.438;1;376;375;1;1;3;1;1;1
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_6.txt;20;3;5;4.11;1;355;352;3;3;2;1;1;1
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_7.txt;20;3;5;3.297;1;323;323;0;0;4;1;1;1
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_8.txt;20;3;5;3.047;1;294;294;0;0;3;1;1;1
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_9.txt;20;3;5;1.578;1;251;243;8;8;3;1;1;1
IP3.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_0.txt;20;3;5;2.36;1;284;277;7;7;4;1;1;1
IP3.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_1.txt;20;3;5;6.781;1;405;399;6;6;2;1;1;1
IP3.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_2.txt;20;3;5;13.891;1;468;465;3;3;4;1;1;1
IP3.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_3.txt;20;3;5;2.844;1;347;339;8;8;2;1;1;1
IP3.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_4.txt;20;3;5;3.172;1;232;232;0;0;4;1;1;1
IP3.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_5.txt;20;3;5;3.406;1;349;342;7;7;2;1;1;1
IP3.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_6.txt;20;3;5;14.406;1;408;404;4;4;4;1;1;1
IP3.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_7.txt;20;3;5;3.219;1;321;317;4;4;3;1;1;1
IP3.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_8.txt;20;3;5;6.078;1;419;416;3;3;5;1;1;1
IP3.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_9.txt;20;3;5;3.047;1;353;346;7;7;3;1;1;1
IP3.exe;T15_small;small;instance_20_3_5_10_9_Sthr_0.txt;20;3;5;25.984;1;470;466;4;4;7;1;1;1
IP3.exe;T15_small;small;instance_20_3_5_10_9_Sthr_1.txt;20;3;5;6.578;1;342;336;6;6;3;1;1;1
IP3.exe;T15_small;small;instance_20_3_5_10_9_Sthr_2.txt;20;3;5;5.125;1;387;381;6;6;4;1;1;1
IP3.exe;T15_small;small;instance_20_3_5_10_9_Sthr_3.txt;20;3;5;40.063;1;687;681;6;6;3;1;1;1
IP3.exe;T15_small;small;instance_20_3_5_10_9_Sthr_4.txt;20;3;5;11.188;1;472;465;7;7;2;1;1;1
IP3.exe;T15_small;small;instance_20_3_5_10_9_Sthr_5.txt;20;3;5;17.938;1;424;419;5;5;3;1;1;1
IP3.exe;T15_small;small;instance_20_3_5_10_9_Sthr_6.txt;20;3;5;3.329;1;289;283;6;6;4;1;1;1
IP3.exe;T15_small;small;instance_20_3_5_10_9_Sthr_7.txt;20;3;5;8.891;1;419;413;6;6;4;1;1;1
IP3.exe;T15_small;small;instance_20_3_5_10_9_Sthr_8.txt;20;3;5;5.781;1;454;447;7;7;2;1;1;1
IP3.exe;T15_small;small;instance_20_3_5_10_9_Sthr_9.txt;20;3;5;23.093;1;489;483;6;6;4;1;1;1
IP3.exe;T16_big;big;instance_20_4_2_10_6_Bthr_0.txt;20;4;2;2.422;1;414;414;0;0;2;1;1;1
IP3.exe;T16_big;big;instance_20_4_2_10_6_Bthr_1.txt;20;4;2;1.625;1;314;314;0;0;1;1;1;1
IP3.exe;T16_big;big;instance_20_4_2_10_6_Bthr_2.txt;20;4;2;1.469;1;276;276;0;0;2;1;1;1
