methode;type;threshold;nom_instance;N;M;F;tps;solv;obj;obj1;obj2;obj22;setup;valide;feas;opt 
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_0.txt;20;3;4;47.344;1;562;562;5;4;7;0;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_1.txt;20;3;4;2.781;1;337;337;0;0;1;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_2.txt;20;3;4;22.688;1;370;370;5;5;8;0;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_3.txt;20;3;4;11.485;1;437;437;2;2;5;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_4.txt;20;3;4;33.75;1;3617;517;3;3;6;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_5.txt;20;3;4;19.984;1;316;316;6;6;7;0;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_6.txt;20;3;4;7.063;1;413;413;0;0;4;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_7.txt;20;3;4;29.265;1;473;473;3;3;9;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_8.txt;20;3;4;61.781;1;584;584;6;6;9;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_9.txt;20;3;4;12.875;1;453;453;2;2;7;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_0.txt;20;3;4;0.657;1;141;141;1;0;3;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_1.txt;20;3;4;3.875;1;4955;475;7;7;8;0;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_2.txt;20;3;4;10.516;1;380;380;4;3;8;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_3.txt;20;3;4;28.812;1;1417;177;6;5;8;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_4.txt;20;3;4;1.266;1;211;211;2;0;5;1;1;1
