methode;type;threshold;nom_instance;N;M;F;tps;solv;obj;obj1;obj2;obj22;setup;valide;feas;opt 
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_0.txt;20;3;4;600.006;1;562;562;0;0;7;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_1.txt;20;3;4;600.006;1;337;337;0;0;1;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_2.txt;20;3;4;600.005;1;380;380;0;0;7;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_3.txt;20;3;4;600.006;1;439;439;0;0;7;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_4.txt;20;3;4;600.006;1;597;517;1;1;6;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_5.txt;20;3;4;600.005;1;316;316;0;0;8;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_6.txt;20;3;4;600.006;1;413;413;0;0;4;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_7.txt;20;3;4;600.005;1;473;473;0;0;9;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_8.txt;20;3;4;600.006;1;584;584;0;0;9;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_9.txt;20;3;4;600.005;1;453;453;0;0;6;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_0.txt;20;3;4;600.006;1;141;141;0;0;3;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_1.txt;20;3;4;600.007;1;635;475;2;2;8;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_2.txt;20;3;4;600.005;1;380;380;0;0;8;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_3.txt;20;3;4;600.006;1;257;177;1;1;8;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_4.txt;20;3;4;600.007;1;211;211;0;0;5;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_5.txt;20;3;4;600.006;1;735;655;1;1;7;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_6.txt;20;3;4;600.006;1;328;328;0;0;4;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_7.txt;20;3;4;600.006;1;506;426;1;1;8;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_8.txt;20;3;4;600.005;1;519;519;0;0;10;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_9.txt;20;3;4;600.005;1;437;437;0;0;8;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_0.txt;20;3;4;600.006;1;521;441;1;1;9;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_1.txt;20;3;4;600.006;1;489;409;1;1;8;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_2.txt;20;3;4;600.005;1;546;306;3;3;8;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_3.txt;20;3;4;600.006;1;421;421;0;0;10;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_4.txt;20;3;4;600.006;1;336;176;2;2;7;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_5.txt;20;3;4;600.005;1;409;329;1;1;9;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_6.txt;20;3;4;600.005;1;411;331;1;1;8;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_7.txt;20;3;4;600.005;1;235;235;0;0;7;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_8.txt;20;3;4;600.005;1;545;465;1;1;9;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_9.txt;20;3;4;600.006;1;468;388;1;1;9;1;1;0
jobBased.exe;T15_big;big;instance_20_3_5_10_9_Bthr_0.txt;20;3;5;600.006;1;292;292;0;0;3;1;1;0
jobBased.exe;T15_big;big;instance_20_3_5_10_9_Bthr_1.txt;20;3;5;600.006;1;369;369;0;0;2;1;1;0
jobBased.exe;T15_big;big;instance_20_3_5_10_9_Bthr_2.txt;20;3;5;600.005;1;596;596;0;0;7;1;1;0
jobBased.exe;T15_big;big;instance_20_3_5_10_9_Bthr_3.txt;20;3;5;600.005;1;267;267;0;0;4;1;1;0
jobBased.exe;T15_big;big;instance_20_3_5_10_9_Bthr_4.txt;20;3;5;600.005;1;908;708;2;2;6;1;1;0
jobBased.exe;T15_big;big;instance_20_3_5_10_9_Bthr_5.txt;20;3;5;600.006;1;376;376;0;0;3;1;1;0
jobBased.exe;T15_big;big;instance_20_3_5_10_9_Bthr_6.txt;20;3;5;600.005;1;432;432;0;0;6;1;1;0
jobBased.exe;T15_big;big;instance_20_3_5_10_9_Bthr_7.txt;20;3;5;600.006;1;323;323;0;0;4;1;1;0
jobBased.exe;T15_big;big;instance_20_3_5_10_9_Bthr_8.txt;20;3;5;600.005;1;294;294;0;0;3;1;1;0
jobBased.exe;T15_big;big;instance_20_3_5_10_9_Bthr_9.txt;20;3;5;600.006;1;533;333;2;2;7;1;1;0
jobBased.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_0.txt;20;3;5;600.005;1;691;391;3;3;10;1;1;0
jobBased.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_1.txt;20;3;5;600.006;1;696;496;2;2;10;1;1;0
jobBased.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_2.txt;20;3;5;600.005;1;550;550;0;0;8;1;1;0
jobBased.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_3.txt;20;3;5;600.006;1;714;414;3;3;6;1;1;0
jobBased.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_4.txt;20;3;5;600.005;1;232;232;0;0;4;1;1;0
jobBased.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_5.txt;20;3;5;600.006;1;658;458;2;2;5;1;1;0
jobBased.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_6.txt;20;3;5;600.005;1;528;428;1;1;9;1;1;0
jobBased.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_7.txt;20;3;5;600.005;1;387;387;0;0;11;1;1;0
jobBased.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_8.txt;20;3;5;600.005;1;460;460;0;0;9;1;1;0
jobBased.exe;T15_medium;medium;instance_20_3_5_10_9_Mthr_9.txt;20;3;5;600.006;1;625;425;2;2;7;1;1;0
jobBased.exe;T15_small;small;instance_20_3_5_10_9_Sthr_0.txt;20;3;5;600.005;1;769;469;3;3;5;1;1;0
jobBased.exe;T15_small;small;instance_20_3_5_10_9_Sthr_1.txt;20;3;5;600.006;1;690;390;3;3;12;1;1;0
jobBased.exe;T15_small;small;instance_20_3_5_10_9_Sthr_2.txt;20;3;5;600.006;1;718;418;3;3;8;1;1;0
jobBased.exe;T15_small;small;instance_20_3_5_10_9_Sthr_3.txt;20;3;5;600.006;1;1105;705;4;4;8;1;1;0
jobBased.exe;T15_small;small;instance_20_3_5_10_9_Sthr_4.txt;20;3;5;600.005;1;857;557;3;3;8;1;1;0
jobBased.exe;T15_small;small;instance_20_3_5_10_9_Sthr_5.txt;20;3;5;600.005;1;749;449;3;3;7;1;1;0
jobBased.exe;T15_small;small;instance_20_3_5_10_9_Sthr_6.txt;20;3;5;600.005;1;354;354;0;0;13;1;1;0
jobBased.exe;T15_small;small;instance_20_3_5_10_9_Sthr_7.txt;20;3;5;600.005;1;685;485;2;2;14;1;1;0
jobBased.exe;T15_small;small;instance_20_3_5_10_9_Sthr_8.txt;20;3;5;600.007;1;942;642;3;3;6;1;1;0
jobBased.exe;T15_small;small;instance_20_3_5_10_9_Sthr_9.txt;20;3;5;600.005;1;812;512;3;3;6;1;1;0
jobBased.exe;T16_big;big;instance_20_4_2_10_6_Bthr_0.txt;20;4;2;600.007;1;414;414;0;0;2;1;1;0
jobBased.exe;T16_big;big;instance_20_4_2_10_6_Bthr_1.txt;20;4;2;600.006;1;314;314;0;0;1;1;1;0
jobBased.exe;T16_big;big;instance_20_4_2_10_6_Bthr_2.txt;20;4;2;600.006;1;276;276;0;0;2;1;1;0
jobBased.exe;T16_big;big;instance_20_4_2_10_6_Bthr_3.txt;20;4;2;600.005;1;404;404;0;0;2;1;1;0
jobBased.exe;T16_big;big;instance_20_4_2_10_6_Bthr_4.txt;20;4;2;600.006;1;251;251;0;0;2;1;1;0
jobBased.exe;T16_big;big;instance_20_4_2_10_6_Bthr_5.txt;20;4;2;600.007;1;516;516;0;0;3;1;1;0
jobBased.exe;T16_big;big;instance_20_4_2_10_6_Bthr_6.txt;20;4;2;600.006;1;540;540;0;0;0;1;1;0
jobBased.exe;T16_big;big;instance_20_4_2_10_6_Bthr_7.txt;20;4;2;600.007;1;272;272;0;0;0;1;1;0
jobBased.exe;T16_big;big;instance_20_4_2_10_6_Bthr_8.txt;20;4;2;600.006;1;226;226;0;0;2;1;1;0
jobBased.exe;T16_big;big;instance_20_4_2_10_6_Bthr_9.txt;20;4;2;600.005;1;728;648;2;2;0;1;1;0
jobBased.exe;T16_medium;medium;instance_20_4_2_10_6_Mthr_0.txt;20;4;2;600.005;1;524;524;0;0;2;1;1;0
jobBased.exe;T16_medium;medium;instance_20_4_2_10_6_Mthr_1.txt;20;4;2;600.006;1;95;95;0;0;1;1;1;0
jobBased.exe;T16_medium;medium;instance_20_4_2_10_6_Mthr_2.txt;20;4;2;600.005;1;226;226;0;0;4;1;1;0
jobBased.exe;T16_medium;medium;instance_20_4_2_10_6_Mthr_3.txt;20;4;2;600.006;1;420;420;0;0;2;1;1;0
jobBased.exe;T16_medium;medium;instance_20_4_2_10_6_Mthr_4.txt;20;4;2;600.006;1;292;292;0;0;4;1;1;0
jobBased.exe;T16_medium;medium;instance_20_4_2_10_6_Mthr_5.txt;20;4;2;600.006;1;367;367;0;0;4;1;1;0
jobBased.exe;T16_medium;medium;instance_20_4_2_10_6_Mthr_6.txt;20;4;2;600.006;1;224;224;0;0;2;1;1;0
jobBased.exe;T16_medium;medium;instance_20_4_2_10_6_Mthr_7.txt;20;4;2;600.006;1;440;440;0;0;4;1;1;0
jobBased.exe;T16_medium;medium;instance_20_4_2_10_6_Mthr_8.txt;20;4;2;600.006;1;261;261;0;0;2;1;1;0
jobBased.exe;T16_medium;medium;instance_20_4_2_10_6_Mthr_9.txt;20;4;2;600.006;1;364;364;0;0;1;1;1;0
jobBased.exe;T16_small;small;instance_20_4_2_10_6_Sthr_0.txt;20;4;2;600.006;1;384;384;0;0;3;1;1;0
jobBased.exe;T16_small;small;instance_20_4_2_10_6_Sthr_1.txt;20;4;2;600.006;1;360;360;0;0;4;1;1;0
jobBased.exe;T16_small;small;instance_20_4_2_10_6_Sthr_2.txt;20;4;2;600.006;1;163;123;1;1;2;1;1;0
jobBased.exe;T16_small;small;instance_20_4_2_10_6_Sthr_3.txt;20;4;2;600.007;1;280;280;0;0;2;1;1;0
jobBased.exe;T16_small;small;instance_20_4_2_10_6_Sthr_4.txt;20;4;2;600.007;1;560;560;0;0;2;1;1;0
jobBased.exe;T16_small;small;instance_20_4_2_10_6_Sthr_5.txt;20;4;2;600.006;1;301;301;0;0;4;1;1;0
