methode;type;threshold;nom_instance;N;M;F;tps;solv;obj;obj1;obj2;obj22;setup;valide;feas;opt 
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_0.txt;20;3;4;600.009;1;429;429;4;4;2;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_1.txt;20;3;4;600.012;1;337;337;0;0;1;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_2.txt;20;3;4;600.01;1;262;262;2;2;1;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_3.txt;20;3;4;600.009;1;410;410;1;1;4;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_4.txt;20;3;4;600.008;1;476;476;4;4;2;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_5.txt;20;3;4;600.008;1;223;223;4;4;2;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_6.txt;20;3;4;600.007;1;413;413;0;0;4;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_7.txt;20;3;4;600.007;1;424;424;3;3;3;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_8.txt;20;3;4;600.008;1;432;432;5;5;1;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_9.txt;20;3;4;600.01;1;425;425;2;2;3;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_0.txt;20;3;4;600.01;1;141;141;0;0;3;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_1.txt;20;3;4;600.009;1;363;363;7;7;2;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_2.txt;20;3;4;600.008;1;317;317;5;5;3;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_3.txt;20;3;4;600.011;1;143;143;5;5;2;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_4.txt;20;3;4;600.01;1;211;211;0;0;5;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_5.txt;20;3;4;600.008;1;606;606;4;4;2;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_6.txt;20;3;4;600.008;1;316;316;3;3;2;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_7.txt;20;3;4;600.008;1;357;357;3;3;3;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_8.txt;20;3;4;600.009;1;424;424;3;3;3;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_9.txt;20;3;4;600.008;1;331;331;5;5;2;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_0.txt;20;3;4;600.008;1;379;379;5;5;4;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_1.txt;20;3;4;600.009;1;363;363;4;4;3;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_2.txt;20;3;4;600.009;1;269;269;5;5;1;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_3.txt;20;3;4;600.007;1;363;363;3;3;5;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_4.txt;20;3;4;600.008;1;170;170;5;5;4;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_5.txt;20;3;4;600.008;1;303;303;4;4;5;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_6.txt;20;3;4;600.009;1;273;273;5;5;3;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_7.txt;20;3;4;600.009;1;187;187;4;4;3;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_8.txt;20;3;4;600.008;1;404;404;5;5;3;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_9.txt;20;3;4;600.008;1;338;338;5;5;3;1;1;0
jobBased.exe;T15_big;big;instance_20_3_5_10_9_Bthr_0.txt;20;3;5;600.011;1;292;292;0;0;3;1;1;0
jobBased.exe;T15_big;big;instance_20_3_5_10_9_Bthr_1.txt;20;3;5;600.012;1;369;369;0;0;2;1;1;0
jobBased.exe;T15_big;big;instance_20_3_5_10_9_Bthr_2.txt;20;3;5;600.01;1;422;422;6;6;2;1;1;0
jobBased.exe;T15_big;big;instance_20_3_5_10_9_Bthr_3.txt;20;3;5;600.01;1;267;267;0;0;4;1;1;0
jobBased.exe;T15_big;big;instance_20_3_5_10_9_Bthr_4.txt;20;3;5;600.01;1;662;662;5;5;2;1;1;0
jobBased.exe;T15_big;big;instance_20_3_5_10_9_Bthr_5.txt;20;3;5;600.012;1;375;375;1;1;3;1;1;0
jobBased.exe;T15_big;big;instance_20_3_5_10_9_Bthr_6.txt;20;3;5;600.01;1;356;356;2;2;4;1;1;0
