methode,type,threshold,nom_instance,N,M,F,tps,solv,obj,obj1,obj2,obj22,setup,valide,feas,opt 
IP3.exe,T14_big,big,instance_20_3_4_10_8_Bthr_0.txt,20,3,4,"47,718",1,562,562,0,0,7,1,1,1
IP3.exe,T14_big,big,instance_20_3_4_10_8_Bthr_1.txt,20,3,4,"2,859",1,337,337,0,0,1,1,1,1
IP3.exe,T14_big,big,instance_20_3_4_10_8_Bthr_2.txt,20,3,4,"23,39",1,370,370,0,0,8,1,1,1
IP3.exe,T14_big,big,instance_20_3_4_10_8_Bthr_3.txt,20,3,4,"11,672",1,437,437,0,0,5,1,1,1
IP3.exe,T14_big,big,instance_20_3_4_10_8_Bthr_4.txt,20,3,4,"35,063",1,3617,517,1,1,6,1,1,1
IP3.exe,T14_big,big,instance_20_3_4_10_8_Bthr_5.txt,20,3,4,"20,297",1,316,316,0,0,7,1,1,1
IP3.exe,T14_big,big,instance_20_3_4_10_8_Bthr_6.txt,20,3,4,"7,312",1,413,413,0,0,4,1,1,1
IP3.exe,T14_big,big,instance_20_3_4_10_8_Bthr_7.txt,20,3,4,"30,203",1,473,473,0,0,9,1,1,1
IP3.exe,T14_big,big,instance_20_3_4_10_8_Bthr_8.txt,20,3,4,"63,703",1,584,584,0,0,9,1,1,1
IP3.exe,T14_big,big,instance_20_3_4_10_8_Bthr_9.txt,20,3,4,"13,187",1,453,453,0,0,7,1,1,1
IP3.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_0.txt,20,3,4,"0,672",1,141,141,0,0,3,1,1,1
IP3.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_1.txt,20,3,4,"3,969",1,4955,475,2,2,8,1,1,1
IP3.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_2.txt,20,3,4,"10,984",1,380,380,0,0,8,1,1,1
IP3.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_3.txt,20,3,4,"29,688",1,1417,177,1,1,8,1,1,1
IP3.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_4.txt,20,3,4,"1,297",1,211,211,0,0,5,1,1,1
IP3.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_5.txt,20,3,4,"600,016",1,748,748,0,0,10,1,1,0
IP3.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_6.txt,20,3,4,"5,828",1,328,328,0,0,4,1,1,1
IP3.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_7.txt,20,3,4,"228,484",1,3066,426,1,1,8,1,1,1
IP3.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_8.txt,20,3,4,"57,047",1,519,519,0,0,10,1,1,1
IP3.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_9.txt,20,3,4,"74,485",1,437,437,0,0,8,1,1,1
IP3.exe,T14_small,small,instance_20_3_4_10_8_Sthr_0.txt,20,3,4,"600,047",1,3381,441,8,7,9,0,1,0
IP3.exe,T14_small,small,instance_20_3_4_10_8_Sthr_1.txt,20,3,4,"600,031",1,3410,410,1,1,7,1,1,0
IP3.exe,T14_small,small,instance_20_3_4_10_8_Sthr_2.txt,20,3,4,"207,844",1,6304,304,3,3,7,1,1,1
IP3.exe,T14_small,small,instance_20_3_4_10_8_Sthr_3.txt,20,3,4,"221,547",1,421,421,0,0,10,1,1,1
IP3.exe,T14_small,small,instance_20_3_4_10_8_Sthr_4.txt,20,3,4,"38,5",1,2736,176,2,2,7,1,1,1
IP3.exe,T14_small,small,instance_20_3_4_10_8_Sthr_5.txt,20,3,4,"93,235",1,413,413,0,0,9,1,1,1
IP3.exe,T14_small,small,instance_20_3_4_10_8_Sthr_6.txt,20,3,4,59,1,448,448,0,0,9,1,1,1
IP3.exe,T14_small,small,instance_20_3_4_10_8_Sthr_7.txt,20,3,4,"25,891",1,235,235,0,0,7,1,1,1
