methode;type;threshold;nom_instance;N;M;F;tps;solv;obj;obj1;obj2;obj22;setup;valide;feas;opt 
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_0.txt;20;3;4;47.578;1;562;562;3;3;7;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_1.txt;20;3;4;2.844;1;337;337;0;0;1;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_2.txt;20;3;4;23.219;1;370;370;1;1;8;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_3.txt;20;3;4;11.703;1;437;437;2;2;5;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_4.txt;20;3;4;34.687;1;3617;517;1;1;6;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_5.txt;20;3;4;20.344;1;316;316;3;3;7;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_6.txt;20;3;4;7.297;1;413;413;0;0;4;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_7.txt;20;3;4;29.953;1;473;473;0;0;9;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_8.txt;20;3;4;63.094;1;584;584;1;1;9;1;1;1
IP3.exe;T14_big;big;instance_20_3_4_10_8_Bthr_9.txt;20;3;4;13.11;1;453;453;0;0;7;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_0.txt;20;3;4;0.672;1;141;141;0;0;3;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_1.txt;20;3;4;3.985;1;4955;475;4;4;8;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_2.txt;20;3;4;10.781;1;380;380;3;3;8;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_3.txt;20;3;4;29.515;1;1417;177;3;3;8;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_4.txt;20;3;4;1.297;1;211;211;0;0;5;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_5.txt;20;3;4;600.016;1;748;748;3;3;10;1;1;0
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_6.txt;20;3;4;5.891;1;328;328;1;1;4;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_7.txt;20;3;4;228.437;1;3066;426;4;4;8;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_8.txt;20;3;4;57.297;1;519;519;2;2;10;1;1;1
IP3.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_9.txt;20;3;4;74.484;1;437;437;2;2;8;1;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_0.txt;20;3;4;600.031;1;3381;441;3;3;9;1;1;0
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_1.txt;20;3;4;600.032;1;3410;410;2;2;7;1;1;0
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_2.txt;20;3;4;209.125;1;6304;304;5;5;7;1;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_3.txt;20;3;4;220.422;1;421;421;0;0;10;1;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_4.txt;20;3;4;38.5;1;2736;176;3;3;7;1;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_5.txt;20;3;4;93.75;1;413;413;3;3;9;1;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_6.txt;20;3;4;59.093;1;448;448;1;1;9;1;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_7.txt;20;3;4;25.937;1;235;235;1;1;7;1;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_8.txt;20;3;4;462.547;1;3565;465;4;4;9;1;1;1
IP3.exe;T14_small;small;instance_20_3_4_10_8_Sthr_9.txt;20;3;4;83.328;1;3008;388;4;4;9;1;1;1
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_0.txt;20;3;5;2.484;1;292;292;0;0;3;1;1;1
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_1.txt;20;3;5;5.515;1;369;369;0;0;2;1;1;1
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_2.txt;20;3;5;76.969;1;596;596;2;2;7;1;1;1
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_3.txt;20;3;5;2.25;1;267;267;0;0;4;1;1;1
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_4.txt;20;3;5;600.172;1;5712;992;3;3;9;1;1;0
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_5.txt;20;3;5;5.406;1;376;376;0;0;3;1;1;1
IP3.exe;T15_big;big;instance_20_3_5_10_9_Bthr_6.txt;20;3;5;215.047;1;426;426;2;2;6;1;1;1
