methode,type,threshold,nom_instance,N,M,F,tps,solv,obj,obj1,obj2,obj22,setup,valide,feas,opt 
SA.exe,T14_big,big,instance_20_3_4_10_8_Bthr_0.txt,20,3,4,"32,372",1,485,485,0,0,11,1,,
SA.exe,T14_big,big,instance_20_3_4_10_8_Bthr_1.txt,20,3,4,"73,7922",1,324,324,0,0,5,1,,
SA.exe,T14_big,big,instance_20_3_4_10_8_Bthr_2.txt,20,3,4,"45,5383",1,286,286,0,0,8,1,,
SA.exe,T14_big,big,instance_20_3_4_10_8_Bthr_3.txt,20,3,4,"50,978",1,472,472,0,0,14,1,,
SA.exe,T14_big,big,instance_20_3_4_10_8_Bthr_4.txt,20,3,4,"47,298",1,3610,510,1,1,11,1,,
SA.exe,T14_big,big,instance_20_3_4_10_8_Bthr_5.txt,20,3,4,"28,8014",1,258,258,0,0,11,1,,
SA.exe,T14_big,big,instance_20_3_4_10_8_Bthr_6.txt,20,3,4,"60,289",1,433,433,0,0,6,1,,
SA.exe,T14_big,big,instance_20_3_4_10_8_Bthr_7.txt,20,3,4,"52,3907",1,486,486,0,0,10,1,,
SA.exe,T14_big,big,instance_20_3_4_10_8_Bthr_8.txt,20,3,4,"32,7409",1,503,503,0,0,12,1,,
SA.exe,T14_big,big,instance_20_3_4_10_8_Bthr_9.txt,20,3,4,"47,9187",1,477,477,0,0,11,1,,
SA.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_0.txt,20,3,4,"46,3274",1,162,162,0,0,7,1,,
SA.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_1.txt,20,3,4,"29,6918",1,357,357,0,0,13,1,,
SA.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_2.txt,20,3,4,"31,9729",1,348,348,0,0,10,1,,
SA.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_3.txt,20,3,4,"19,724",1,189,189,0,0,12,1,,
SA.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_4.txt,20,3,4,"42,5864",1,230,230,0,0,9,1,,
SA.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_5.txt,20,3,4,"22,7491",1,742,742,0,0,13,1,,
SA.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_6.txt,20,3,4,"39,1502",1,351,351,0,0,9,1,,
SA.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_7.txt,20,3,4,"22,2588",1,438,438,0,0,14,1,,
SA.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_8.txt,20,3,4,"34,0836",1,527,527,0,0,11,1,,
SA.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_9.txt,20,3,4,"34,5749",1,372,372,0,0,10,1,,
SA.exe,T14_small,small,instance_20_3_4_10_8_Sthr_0.txt,20,3,4,0,0, , , , , , ,,
SA.exe,T14_small,small,instance_20_3_4_10_8_Sthr_1.txt,20,3,4,"19,6989",1,6407,407,2,2,11,1,,
SA.exe,T14_small,small,instance_20_3_4_10_8_Sthr_2.txt,20,3,4,"12,3191",1,6312,312,3,3,12,1,,
SA.exe,T14_small,small,instance_20_3_4_10_8_Sthr_3.txt,20,3,4,"22,4914",1,458,458,0,0,12,1,,
SA.exe,T14_small,small,instance_20_3_4_10_8_Sthr_4.txt,20,3,4,"14,7065",1,4022,182,3,3,8,1,,
SA.exe,T14_small,small,instance_20_3_4_10_8_Sthr_5.txt,20,3,4,"17,1922",1,2873,413,1,1,12,1,,
SA.exe,T14_small,small,instance_20_3_4_10_8_Sthr_6.txt,20,3,4,"20,1802",1,455,455,0,0,15,1,,
SA.exe,T14_small,small,instance_20_3_4_10_8_Sthr_7.txt,20,3,4,"28,6901",1,263,263,0,0,12,1,,
SA.exe,T14_small,small,instance_20_3_4_10_8_Sthr_8.txt,20,3,4,"22,7943",1,6706,506,2,2,10,1,,
SA.exe,T14_small,small,instance_20_3_4_10_8_Sthr_9.txt,20,3,4,"17,8349",1,3060,440,1,1,13,1,,
SA.exe,T15_big,big,instance_20_3_5_10_9_Bthr_0.txt,20,3,5,"54,9817",1,308,308,0,0,9,1,,
SA.exe,T15_big,big,instance_20_3_5_10_9_Bthr_1.txt,20,3,5,"39,3076",1,2938,398,1,1,8,1,,
SA.exe,T15_big,big,instance_20_3_5_10_9_Bthr_2.txt,20,3,5,"40,4798",1,458,458,0,0,12,1,,
SA.exe,T15_big,big,instance_20_3_5_10_9_Bthr_3.txt,20,3,5,"61,5543",1,283,283,0,0,9,1,,
SA.exe,T15_big,big,instance_20_3_5_10_9_Bthr_4.txt,20,3,5,"30,6774",1,5395,675,1,1,9,1,,
SA.exe,T15_big,big,instance_20_3_5_10_9_Bthr_5.txt,20,3,5,"40,9249",1,390,390,0,0,9,1,,
