methode,type,threshold,nom_instance,N,M,F,tps,solv,obj,obj1,obj2,obj22,setup,valide,feas,opt 
RH.exe,T14_big,big,instance_20_3_4_10_8_Bthr_0.txt,20,3,4,0,1,440,436,4,4,2,1,,
RH.exe,T14_big,big,instance_20_3_4_10_8_Bthr_1.txt,20,3,4,0,1,349,349,0,0,1,1,,
RH.exe,T14_big,big,instance_20_3_4_10_8_Bthr_2.txt,20,3,4,0,1,264,262,2,2,1,1,,
RH.exe,T14_big,big,instance_20_3_4_10_8_Bthr_3.txt,20,3,4,0,1,421,418,3,3,4,1,,
RH.exe,T14_big,big,instance_20_3_4_10_8_Bthr_4.txt,20,3,4,0,1,485,482,3,3,2,1,,
RH.exe,T14_big,big,instance_20_3_4_10_8_Bthr_5.txt,20,3,4,"0,0010026",1,230,226,4,4,1,1,,
RH.exe,T14_big,big,instance_20_3_4_10_8_Bthr_6.txt,20,3,4,0,1,422,422,0,0,5,1,,
RH.exe,T14_big,big,instance_20_3_4_10_8_Bthr_7.txt,20,3,4,0,1,437,434,3,3,4,1,,
RH.exe,T14_big,big,instance_20_3_4_10_8_Bthr_8.txt,20,3,4,"0,0009609",1,437,432,5,5,1,1,,
RH.exe,T14_big,big,instance_20_3_4_10_8_Bthr_9.txt,20,3,4,0,1,452,448,4,4,2,1,,
RH.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_0.txt,20,3,4,"0,0010328",1,165,159,6,6,2,1,,
RH.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_1.txt,20,3,4,"0,0010079",1,371,364,7,7,2,1,,
RH.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_2.txt,20,3,4,0,1,322,318,4,4,2,1,,
RH.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_3.txt,20,3,4,"0,0009913",1,151,146,5,5,3,1,,
RH.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_4.txt,20,3,4,0,1,213,211,2,2,5,1,,
RH.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_5.txt,20,3,4,"0,0010027",1,603,598,5,5,1,1,,
RH.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_6.txt,20,3,4,0,1,319,316,3,3,2,1,,
RH.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_7.txt,20,3,4,0,1,360,357,3,3,3,1,,
RH.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_8.txt,20,3,4,0,1,431,427,4,4,3,1,,
RH.exe,T14_medium,medium,instance_20_3_4_10_8_Mthr_9.txt,20,3,4,"0,001031",1,336,331,5,5,2,1,,
RH.exe,T14_small,small,instance_20_3_4_10_8_Sthr_0.txt,20,3,4,0,1,404,397,7,7,4,1,,
RH.exe,T14_small,small,instance_20_3_4_10_8_Sthr_1.txt,20,3,4,0,1,376,371,5,5,2,1,,
