methode;type;threshold;nom_instance;N;M;F;tps;tps_bestSol;solv;bestObj;obj;obj1;obj2;obj22;setup;valide;feas;opt 
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_0.txt;20;3;4;180.006;0.466;1;433;433;429;4;4;2;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_1.txt;20;3;4;180.005;0.154;1;337;337;337;0;0;1;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_2.txt;20;3;4;180.005;0.568;1;264;264;262;2;2;1;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_3.txt;20;3;4;180.006;1.689;1;411;411;410;1;1;4;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_4.txt;20;3;4;180.005;1.254;1;480;480;476;4;4;2;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_5.txt;20;3;4;180.005;3.472;1;227;227;223;4;4;2;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_6.txt;20;3;4;180.005;20.28;1;413;413;413;0;0;4;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_7.txt;20;3;4;180.006;43.346;1;429;429;426;3;3;4;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_8.txt;20;3;4;180.005;0.134;1;437;437;432;5;5;1;1;1;0
jobBased.exe;T14_big;big;instance_20_3_4_10_8_Bthr_9.txt;20;3;4;180.006;0.772;1;427;427;425;2;2;3;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_0.txt;20;3;4;180.005;0.806;1;141;141;141;0;0;3;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_1.txt;20;3;4;180.004;0.276;1;370;370;363;7;7;2;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_2.txt;20;3;4;180.007;1.673;1;322;322;318;4;4;2;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_3.txt;20;3;4;180.006;0.645;1;148;148;143;5;5;2;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_4.txt;20;3;4;180.005;0.069;1;211;211;211;0;0;5;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_5.txt;20;3;4;180.005;122.976;1;610;610;606;4;4;2;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_6.txt;20;3;4;180.005;0.377;1;328;328;328;0;0;4;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_7.txt;20;3;4;180.004;0.318;1;360;360;357;3;3;3;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_8.txt;20;3;4;180.006;0.466;1;427;427;424;3;3;3;1;1;0
jobBased.exe;T14_medium;medium;instance_20_3_4_10_8_Mthr_9.txt;20;3;4;180.006;1.729;1;341;341;337;4;4;2;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_0.txt;20;3;4;180.005;76.473;1;384;384;379;5;5;4;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_1.txt;20;3;4;180.004;135.543;1;367;367;363;4;4;3;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_2.txt;20;3;4;180.005;0.51;1;278;278;273;5;5;2;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_3.txt;20;3;4;180.006;0.584;1;366;366;363;3;3;5;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_4.txt;20;3;4;180.005;13.285;1;176;176;172;4;4;5;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_5.txt;20;3;4;180.006;60.439;1;307;307;303;4;4;5;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_6.txt;20;3;4;180.005;0.511;1;278;278;273;5;5;3;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_7.txt;20;3;4;180.006;1.947;1;191;191;187;4;4;3;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_8.txt;20;3;4;180.005;2.745;1;409;409;404;5;5;3;1;1;0
jobBased.exe;T14_small;small;instance_20_3_4_10_8_Sthr_9.txt;20;3;4;180.006;0.679;1;343;343;338;5;5;3;1;1;0

